Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Administrativna dejavnost, A - administrativni manipulant;administrativni manipulant;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativna dejavnost, A - administrator;administrator;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativna dejavnost, B - administrator;administrator;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativna dejavnost, B - upravni tehnik;upravni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativna dejavnost, C - upravni tehnik;upravni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativni manipulant;administrativni manipulant;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrativni tehnik;administrativni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Administrator;administrator;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0415";Tajniško in administrativno delo;Secretarial and office work;
Agrarna ekonomika;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agrarna ekonomika;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
