DATUM;IME_PRAZNIKA;DAN_V_TEDNU;DELA_PROST_DAN;DAN;MESEC;LETO
1.01.2000;novo leto;sobota;da;1;1;2000
2.01.2000;novo leto;nedelja;da;2;1;2000
8.02.2000;Prešernov dan, slovenski kulturni praznik;torek;da;8;2;2000
23.04.2000;velika noč;nedelja;da;23;4;2000
24.04.2000;velikonočni ponedeljek;ponedeljek;da;24;4;2000
27.04.2000;dan boja proti okupatorju ;četrtek;da;27;4;2000
1.05.2000;praznik dela;ponedeljek;da;1;5;2000
2.05.2000;praznik dela;torek;da;2;5;2000
11.06.2000;binkoštna nedelja;nedelja;da;11;6;2000
25.06.2000;dan državnosti;nedelja;da;25;6;2000
15.08.2000;Marijino vnebovzetje;torek;da;15;8;2000
31.10.2000;dan reformacije;torek;da;31;10;2000
1.11.2000;dan spomina na mrtve;sreda;da;1;11;2000
25.12.2000;božič;ponedeljek;da;25;12;2000
26.12.2000;dan samostojnosti;torek;da;26;12;2000
1.01.2001;novo leto;ponedeljek;da;1;1;2001
2.01.2001;novo leto;torek;da;2;1;2001
8.02.2001;Prešernov dan, slovenski kulturni praznik;četrtek;da;8;2;2001
15.04.2001;velika noč;nedelja;da;15;4;2001
16.04.2001;velikonočni ponedeljek;ponedeljek;da;16;4;2001
27.04.2001;dan boja proti okupatorju ;petek;da;27;4;2001
1.05.2001;praznik dela;torek;da;1;5;2001
2.05.2001;praznik dela;sreda;da;2;5;2001
3.06.2001;binkoštna nedelja;nedelja;da;3;6;2001
25.06.2001;dan državnosti;ponedeljek;da;25;6;2001
15.08.2001;Marijino vnebovzetje;sreda;da;15;8;2001
31.10.2001;dan reformacije;sreda;da;31;10;2001
1.11.2001;dan spomina na mrtve;četrtek;da;1;11;2001
25.12.2001;božič;torek;da;25;12;2001
26.12.2001;dan samostojnosti;sreda;da;26;12;2001
1.01.2002;novo leto;torek;da;1;1;2002
2.01.2002;novo leto;sreda;da;2;1;2002
8.02.2002;Prešernov dan, slovenski kulturni praznik;petek;da;8;2;2002
31.03.2002;velika noč;nedelja;da;31;3;2002
1.04.2002;velikonočni ponedeljek;ponedeljek;da;1;4;2002
27.04.2002;dan boja proti okupatorju ;sobota;da;27;4;2002
1.05.2002;praznik dela;sreda;da;1;5;2002
2.05.2002;praznik dela;četrtek;da;2;5;2002
19.05.2002;binkoštna nedelja;nedelja;da;19;5;2002
25.06.2002;dan državnosti;torek;da;25;6;2002
15.08.2002;Marijino vnebovzetje;četrtek;da;15;8;2002
31.10.2002;dan reformacije;četrtek;da;31;10;2002
1.11.2002;dan spomina na mrtve;petek;da;1;11;2002
25.12.2002;božič;sreda;da;25;12;2002
26.12.2002;dan samostojnosti;četrtek;da;26;12;2002
1.01.2003;novo leto;sreda;da;1;1;2003
2.01.2003;novo leto;četrtek;da;2;1;2003
8.02.2003;Prešernov dan, slovenski kulturni praznik;sobota;da;8;2;2003
20.04.2003;velika noč;nedelja;da;20;4;2003
21.04.2003;velikonočni ponedeljek;ponedeljek;da;21;4;2003
27.04.2003;dan boja proti okupatorju ;nedelja;da;27;4;2003
1.05.2003;praznik dela;četrtek;da;1;5;2003
2.05.2003;praznik dela;petek;da;2;5;2003
8.06.2003;binkoštna nedelja;nedelja;da;8;6;2003
