model_name,fine_tuned,train_bundle,epochs,test_dataset,precision_score,recall_score,f1_score
cro-slo-eng-bert,True,bsnlp-2021,5,bsnlp-2021,0.8679401993355482,0.895458440445587,0.8814846056516239
cro-slo-eng-bert,False,bsnlp-2021,5,bsnlp-2021,0.8672026614915442,0.8934590117109398,0.8801350590883512
bert-base-multilingual-cased,True,bsnlp-2021,5,bsnlp-2021,0.8509709797076151,0.890614295501256,0.8703414416424906
bert-base-multilingual-cased,False,bsnlp-2021,5,bsnlp-2021,0.8499131190269331,0.8935830098195935,0.8712011577424023
bert-base-multilingual-uncased,True,bsnlp-2021,5,bsnlp-2021,0.6098347440548166,0.6270203066721923,0.618308132407029
bert-base-multilingual-uncased,False,bsnlp-2021,5,bsnlp-2021,0.6260727421332244,0.6348943224202238,0.6304526748971193
sloberta-1.0,True,bsnlp-2021,5,bsnlp-2021,0.8895126307731565,0.9052194235263568,0.8972972972972973
sloberta-1.0,False,bsnlp-2021,5,bsnlp-2021,0.8825767182348465,0.9036613866528175,0.892994611239415
sloberta-2.0,True,bsnlp-2021,5,bsnlp-2021,0.8926994024421928,0.892235782913529,0.8924675324675325
sloberta-2.0,False,bsnlp-2021,5,bsnlp-2021,0.8919896640826873,0.8963905479096339,0.8941846911021889
